<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.05.06	1.06006	1.08006	1.05956	1.07004	81866	0	15
2011.05.09	1.07093	1.08105	1.06934	1.07851	67149	0	15
2011.05.10	1.07851	1.08476	1.07356	1.08416	67260	0	15
2011.05.11	1.08417	1.08877	1.06636	1.07034	60529	0	15
2011.05.12	1.07032	1.07126	1.05665	1.06646	60235	0	15
2011.05.13	1.06648	1.07157	1.05201	1.05707	43249	0	15
2011.05.16	1.05671	1.06414	1.05129	1.05729	52796	0	15
2011.05.17	1.05733	1.06271	1.05045	1.06234	48651	0	12
2011.05.18	1.06214	1.06645	1.05685	1.06310	25472	0	12
2011.05.19	1.06309	1.06804	1.05938	1.06630	24607	0	12
2011.05.20	1.06635	1.07100	1.06095	1.06632	23180	0	12
2011.05.23	1.06455	1.06493	1.04783	1.05107	29892	0	12
2011.05.24	1.05102	1.05824	1.04788	1.05543	26524	0	12
2011.05.25	1.05552	1.05606	1.04399	1.05237	42015	0	12
2011.05.26	1.05240	1.06480	1.05089	1.06327	78300	0	10
2011.05.27	1.06327	1.07180	1.06080	1.07049	70051	0	10
2011.05.30	1.07146	1.07150	1.06749	1.06868	35949	0	15
2011.05.31	1.06868	1.07559	1.06425	1.06564	58616	0	15
2011.06.01	1.06561	1.07521	1.05927	1.06128	68227	0	15
2011.06.02	1.06119	1.06872	1.05865	1.06716	64416	0	15
2011.06.03	1.06715	1.07734	1.05944	1.07137	42886	0	15
2011.06.06	1.07302	1.07670	1.06911	1.07266	48280	0	15
2011.06.07	1.07266	1.07491	1.06712	1.07163	43276	0	15
2011.06.08	1.07162	1.07222	1.05885	1.06274	44425	0	15
2011.06.09	1.06271	1.06615	1.05623	1.06255	37904	0	15
2011.06.10	1.06253	1.06509	1.05259	1.05350	38643	0	15
2011.06.13	1.05278	1.06358	1.05224	1.06100	62209	0	15
2011.06.14	1.06099	1.07145	1.05675	1.06791	59886	0	15
2011.06.15	1.06791	1.07124	1.05343	1.05574	60699	0	15
2011.06.16	1.05581	1.05895	1.04774	1.05613	80680	0	15
2011.06.17	1.05619	1.06341	1.05052	1.05988	71817	0	15
2011.06.20	1.05982	1.06160	1.04962	1.05772	67267	0	15
2011.06.21	1.05770	1.06189	1.05311	1.05969	65438	0	15
2011.06.22	1.05962	1.06494	1.05630	1.05685	66590	0	15
2011.06.23	1.05685	1.05705	1.04546	1.05325	69973	0	15
2011.06.24	1.05331	1.05998	1.04846	1.04885	65176	0	15
2011.06.27	1.04835	1.04869	1.03902	1.04523	71058	0	15
2011.06.28	1.04521	1.05428	1.04354	1.05359	64637	0	15
2011.06.29	1.05358	1.06848	1.05184	1.06709	58962	0	15
2011.06.30	1.06695	1.07495	1.06682	1.07070	60718	0	15
2011.07.01	1.07086	1.07885	1.06727	1.07676	55364	0	15
2011.07.04	1.07700	1.07846	1.07118	1.07415	48317	0	15
2011.07.05	1.07419	1.07461	1.06636	1.06828	64819	0	15
2011.07.06	1.06831	1.07329	1.06540	1.06952	64551	0	15
2011.07.07	1.06956	1.07786	1.06854	1.07706	58462	0	15
2011.07.08	1.07706	1.07879	1.07035	1.07530	64659	0	15
2011.07.11	1.07200	1.07311	1.06311	1.06566	72984	0	15
2011.07.12	1.06566	1.06636	1.05250	1.05913	86546	0	15
2011.07.13	1.05909	1.07975	1.05782	1.07740	79487	0	15
2011.07.14	1.07734	1.07847	1.06931	1.07206	75525	0	15
2011.07.15	1.07191	1.07448	1.06187	1.06507	61276	0	15
2011.07.18	1.06370	1.06543	1.05601	1.06057	77414	0	10
2011.07.19	1.06067	1.07407	1.06030	1.07230	66588	0	10
2011.07.20	1.07218	1.07597	1.07100	1.07414	51566	0	14
2011.07.21	1.07414	1.08557	1.06931	1.08356	60899	0	13
2011.07.22	1.08338	1.08739	1.08191	1.08437	46544	0	15
2011.07.25	1.08462	1.08764	1.07953	1.08472	47963	0	15
2011.07.26	1.08467	1.09676	1.08207	1.09555	52850	0	15
2011.07.27	1.09553	1.10797	1.09429	1.10234	55634	5087750000	12
2011.07.28	1.10234	1.10740	1.09750	1.10059	63783	33271744400	12
2011.07.29	1.10057	1.10173	1.09108	1.09904	60615	0	15
2011.08.01	1.09939	1.10648	1.09221	1.09674	56766	0	15
2011.08.02	1.09675	1.10058	1.07729	1.07776	62529	0	11
2011.08.03	1.07777	1.07842	1.06780	1.07719	68229	0	15
2011.08.04	1.07715	1.07769	1.04479	1.04479	87379	34736600000	12
2011.08.05	1.04481	1.05258	1.03755	1.04400	89739	0	15
2011.08.08	1.04124	1.04362	1.01799	1.01870	105456	0	15
2011.08.09	1.01880	1.04123	0.99265	1.03887	116294	0	15
2011.08.10	1.03889	1.03906	1.01503	1.01507	98176	0	14
2011.08.11	1.01511	1.03576	1.01108	1.03426	106258	0	15
2011.08.12	1.03424	1.03598	1.02452	1.03468	82040	0	13
2011.08.15	1.03661	1.05114	1.03606	1.05084	65494	0	15
2011.08.16	1.05084	1.05087	1.04056	1.04680	76581	0	15
2011.08.17	1.04682	1.06006	1.04322	1.05363	71899	0	15
2011.08.18	1.05361	1.05566	1.03520	1.03741	80391	0	15
2011.08.19	1.03748	1.04796	1.03146	1.04034	82321	0	15
2011.08.22	1.03826	1.04719	1.03618	1.03957	70063	0	15
2011.08.23	1.03955	1.05329	1.03853	1.05260	69254	0	15
2011.08.24	1.05260	1.05260	1.04475	1.04654	70050	0	13
2011.08.25	1.04655	1.05125	1.04164	1.04384	67440	0	15
2011.08.26	1.04376	1.05910	1.04352	1.05663	69686	0	15
2011.08.29	1.05679	1.06783	1.05597	1.06767	57771	20435500000	12
2011.08.30	1.06766	1.07198	1.06206	1.06732	72430	80090610000	12
2011.08.31	1.06732	1.07201	1.06511	1.06863	69780	79026743000	12
2011.09.01	1.06860	1.07641	1.06588	1.07207	66921	0	15
2011.09.02	1.07211	1.07320	1.06253	1.06415	67303	0	15
2011.09.05	1.06073	1.06091	1.05079	1.05110	62087	0	15
2011.09.06	1.05108	1.06239	1.04812	1.04885	82554	0	15
2011.09.07	1.04885	1.06599	1.04885	1.06462	67283	0	15
2011.09.08	1.06462	1.06591	1.05651	1.06043	74735	0	15
2011.09.09	1.06045	1.06337	1.04212	1.04681	81209	0	15
2011.09.12	1.04187	1.04395	1.02550	1.03505	92731	0	15
2011.09.13	1.03505	1.03746	1.02618	1.03138	91512	0	15
2011.09.14	1.03131	1.03685	1.01772	1.02549	95812	0	15
2011.09.15	1.02551	1.03455	1.01821	1.03311	87832	0	15
2011.09.16	1.03313	1.03975	1.02936	1.03581	72053	0	15
2011.09.19	1.02895	1.03133	1.01668	1.02106	82134	0	15
2011.09.20	1.02108	1.03107	1.01476	1.02649	89482	0	15
2011.09.21	1.02647	1.02913	1.00332	1.00517	89032	0	11
2011.09.22	1.00519	1.00768	0.96914	0.97453	112907	0	15
2011.09.23	0.97451	0.98653	0.96696	0.97795	111037	0	15
2011.09.26	0.97823	0.98458	0.96216	0.98353	111303	0	15
2011.09.27	0.98350	0.99840	0.97753	0.99048	94731	0	15
2011.09.28	0.99049	0.99543	0.97503	0.97503	94685	0	12
2011.09.29	0.97501	0.98762	0.97006	0.97686	102882	0	14
2011.09.30	0.97686	0.98078	0.96583	0.96583	93228	0	15
2011.10.03	0.96705	0.96991	0.95080	0.95290	99849	0	15
2011.10.04	0.95290	0.95946	0.93898	0.95477	115506	0	15
2011.10.05	0.95476	0.96661	0.94873	0.96547	97893	0	12
2011.10.06	0.96549	0.97656	0.96209	0.97317	95434	0	15
2011.10.07	0.97318	0.98784	0.97273	0.97646	88138	0	12
2011.10.10	0.97599	1.00140	0.97521	0.99942	80977	0	12
2011.10.11	0.99936	1.00010	0.99053	0.99596	90111	0	15
2011.10.12	0.99595	1.02054	0.98646	1.01337	92462	0	15
2011.10.13	1.01333	1.02304	1.01019	1.01857	90685	0	15
2011.10.14	1.01858	1.03442	1.01439	1.03373	81241	0	13
2011.10.17	1.03232	1.03708	1.01476	1.01651	88419	0	15
2011.10.18	1.01653	1.03248	1.01177	1.02611	95237	0	15
2011.10.19	1.02609	1.03526	1.02038	1.02299	89521	0	15
2011.10.20	1.02300	1.02946	1.01470	1.02273	102810	0	15
2011.10.21	1.02268	1.03764	1.02023	1.03732	89796	0	15
2011.10.24	1.03296	1.04996	1.03141	1.04672	89403	0	15
2011.10.25	1.04673	1.04954	1.03989	1.04301	92177	0	15
2011.10.26	1.04302	1.04337	1.03216	1.03963	95013	0	15
2011.10.27	1.03963	1.07512	1.03875	1.07127	100428	0	15
2011.10.28	1.07129	1.07308	1.06545	1.06987	87382	0	15
2011.10.31	1.07061	1.07069	1.05060	1.05406	95020	0	15
2011.11.01	1.05406	1.05652	1.02721	1.03269	106668	0	15
2011.11.02	1.03262	1.04262	1.02787	1.03371	102175	0	15
2011.11.03	1.03368	1.04448	1.02024	1.03983	104320	0	15
2011.11.04	1.03979	1.04367	1.03149	1.03727	90937	0	15
2011.11.07	1.04097	1.04252	1.02756	1.03759	88474	0	15
2011.11.08	1.03759	1.04025	1.02813	1.03794	87835	0	15
2011.11.09	1.03800	1.03949	1.01173	1.01175	99354	0	15
2011.11.10	1.01177	1.02082	1.00525	1.01504	95981	0	15
2011.11.11	1.01504	1.03032	1.01049	1.02861	77213	0	15
2011.11.14	1.03118	1.03399	1.01606	1.02004	86885	0	15
2011.11.15	1.02000	1.02248	1.01128	1.01679	85539	0	11
2011.11.16	1.01679	1.01834	1.00596	1.00699	95576	0	15
2011.11.17	1.00699	1.01168	0.99729	1.00008	101642	0	15
2011.11.18	1.00008	1.01056	0.99634	1.00037	94221	0	13
2011.11.21	0.99962	0.99962	0.98085	0.98324	97060	0	15
2011.11.22	0.98324	0.98980	0.98122	0.98430	94224	0	14
2011.11.23	0.98430	0.98550	0.96630	0.96834	97368	0	12
2011.11.24	0.96834	0.97842	0.96831	0.97208	75785	0	9
2011.11.25	0.97204	0.97718	0.96663	0.97081	76499	0	15
2011.11.28	0.98061	0.99750	0.98022	0.98992	83805	0	10
2011.11.29	0.98992	1.00760	0.98620	1.00364	87170	0	15
2011.11.30	1.00367	1.03270	0.99425	1.02658	91911	0	11
2011.12.01	1.02669	1.02690	1.01504	1.02149	83584	0	15
2011.12.02	1.02150	1.03231	1.01956	1.02137	69928	0	14
2011.12.05	1.02389	1.03034	1.02018	1.02611	80172	0	8
2011.12.06	1.02611	1.02661	1.01557	1.02377	82814	0	8
2011.12.07	1.02375	1.03029	1.02331	1.02869	75943	0	12
2011.12.08	1.02865	1.03777	1.01440	1.01604	84085	0	15
2011.12.09	1.01602	1.02221	1.00471	1.02123	81134	0	8
2011.12.12	1.01896	1.02058	1.00508	1.00571	77574	0	15
2011.12.13	1.00577	1.01603	0.99791	1.00043	78599	0	10
2011.12.14	1.00046	1.00438	0.98840	0.98967	87154	0	15
2011.12.15	0.98973	0.99875	0.98610	0.99285	76519	0	15
2011.12.16	0.99284	1.00258	0.99257	0.99799	71105	0	15
2011.12.19	0.99668	0.99738	0.98824	0.98951	78986	0	5
2011.12.20	0.98956	1.00938	0.98952	1.00656	71751	0	8
2011.12.21	1.00656	1.02183	1.00513	1.00876	82169	0	8
2011.12.22	1.00874	1.01478	1.00590	1.01269	70450	0	15
2011.12.23	1.01270	1.01798	1.01261	1.01386	46029	0	15
2011.12.26	1.01637	1.01708	1.01549	1.01632	17602	0	15
2011.12.27	1.01630	1.01729	1.01379	1.01428	35108	0	30
2011.12.28	1.01430	1.02019	1.00707	1.00823	55922	0	13
2011.12.29	1.00821	1.01440	1.00438	1.01315	62115	0	15
2011.12.30	1.01315	1.02671	1.01256	1.02000	57786	0	15
2012.01.02	1.02189	1.02440	1.01973	1.02399	30971	0	15
2012.01.03	1.02399	1.03854	1.02393	1.03632	66035	0	15
2012.01.04	1.03629	1.03720	1.03041	1.03526	74135	0	15
2012.01.05	1.03524	1.03563	1.02316	1.02526	80471	0	15
2012.01.06	1.02523	1.02701	1.02018	1.02260	64262	0	15
2012.01.09	1.02023	1.02555	1.01448	1.02374	76072	0	15
2012.01.10	1.02373	1.03508	1.02373	1.03057	73808	0	14
2012.01.11	1.03055	1.03275	1.02621	1.03019	72444	0	15
2012.01.12	1.03018	1.03768	1.02851	1.03301	67265	0	15
2012.01.13	1.03298	1.03660	1.02320	1.03227	71494	0	15
2012.01.16	1.02934	1.03364	1.02530	1.03025	53172	0	15
2012.01.17	1.03023	1.04481	1.03022	1.03717	76106	0	15
2012.01.18	1.03718	1.04353	1.03582	1.04142	81755	0	15
2012.01.19	1.04141	1.04321	1.03701	1.04160	77719	0	15
2012.01.20	1.04159	1.04873	1.03821	1.04828	67533	0	15
2012.01.23	1.04693	1.05723	1.04577	1.05215	69819	0	7
2012.01.24	1.05214	1.05307	1.04278	1.04832	57592	0	7
2012.01.25	1.04831	1.06181	1.04441	1.05900	75888	0	15
2012.01.26	1.05898	1.06870	1.05871	1.06232	67005	0	7
2012.01.27	1.06233	1.06687	1.05901	1.06565	78445	0	15
2012.01.30	1.06332	1.06518	1.05264	1.05906	78672	0	15
2012.01.31	1.05907	1.06839	1.05763	1.06246	74200	0	9
2012.02.01	1.06245	1.07395	1.05681	1.07105	77462	0	15
2012.02.02	1.07106	1.07551	1.06787	1.07026	74416	0	7
2012.02.03	1.07027	1.07931	1.06708	1.07669	71786	0	7
2012.02.06	1.07579	1.07583	1.06832	1.07164	73248	0	12
2012.02.07	1.07165	1.08216	1.07008	1.08030	81657	0	15
2012.02.08	1.08029	1.08436	1.07674	1.07838	69595	0	15
2012.02.09	1.07839	1.08236	1.07392	1.07857	87759	0	9
2012.02.10	1.07858	1.07858	1.06396	1.06716	82202	0	12
2012.02.13	1.07074	1.07775	1.06855	1.07193	77647	0	15
2012.02.14	1.07190	1.07317	1.06280	1.06874	74814	0	15
2012.02.15	1.06873	1.07756	1.06670	1.06876	77730	0	15
2012.02.16	1.06877	1.07720	1.06454	1.07495	77413	0	15
2012.02.17	1.07494	1.07977	1.06878	1.07002	65356	0	15
2012.02.20	1.07713	1.08146	1.07315	1.07318	58694	0	15
2012.02.21	1.07319	1.07483	1.06433	1.06442	83288	0	7
2012.02.22	1.06441	1.06851	1.06047	1.06271	75917	0	15
2012.02.23	1.06269	1.07369	1.05958	1.07327	67520	0	9
2012.02.24	1.07329	1.07531	1.06869	1.06945	59502	0	15
2012.02.27	1.07093	1.07833	1.06502	1.07461	70413	0	15
2012.02.28	1.07460	1.07858	1.07285	1.07686	66013	0	15
2012.02.29	1.07685	1.08550	1.07139	1.07334	81298	0	15
2012.03.01	1.07332	1.08151	1.07238	1.08062	77768	0	15
2012.03.02	1.08061	1.08143	1.07253	1.07300	68267	0	15
2012.03.05	1.07267	1.07382	1.06557	1.06655	66149	0	15
2012.03.06	1.06654	1.06896	1.05241	1.05447	76375	0	15
2012.03.07	1.05448	1.05920	1.05073	1.05792	68626	0	15
2012.03.08	1.05791	1.06678	1.05340	1.06470	69246	0	15
2012.03.09	1.06469	1.06617	1.05639	1.05746	65052	0	9
2012.03.12	1.05680	1.05708	1.04729	1.05186	63609	0	15
2012.03.13	1.05187	1.05588	1.04841	1.05490	69052	0	15
2012.03.14	1.05488	1.05502	1.04276	1.04398	65457	0	15
2012.03.15	1.04399	1.05528	1.04211	1.05150	72195	0	15
2012.03.16	1.05152	1.05965	1.05082	1.05884	61432	0	15
2012.03.19	1.06029	1.06364	1.05575	1.06037	60464	0	15
2012.03.20	1.06035	1.06229	1.04566	1.04794	70594	0	15
2012.03.21	1.04793	1.05258	1.04208	1.04514	66451	0	15
2012.03.22	1.04513	1.04820	1.03359	1.03957	75723	0	15
2012.03.23	1.03956	1.04800	1.03716	1.04620	69163	0	14
2012.03.26	1.04664	1.05444	1.04261	1.05391	66144	0	15
2012.03.27	1.05392	1.05562	1.04512	1.04526	62317	0	9
2012.03.28	1.04527	1.04587	1.03552	1.03883	73476	0	15
2012.03.29	1.03885	1.04028	1.03043	1.03763	70208	0	15
2012.03.30	1.03761	1.04141	1.03394	1.03433	60167	0	15
2012.04.02	1.04400	1.04457	1.03659	1.04076	65352	0	10
2012.04.03	1.04075	1.04626	1.03002	1.03280	75567	0	10
2012.04.04	1.03278	1.03316	1.02429	1.02625	76417	0	9
2012.04.05	1.02624	1.03223	1.02518	1.03025	66534	0	10
2012.04.06	1.03026	1.03353	1.02725	1.03008	36120	0	10
2012.04.09	1.02952	1.03306	1.02561	1.03083	43071	0	10
2012.04.10	1.03084	1.03549	1.02467	1.02537	72673	0	10
2012.04.11	1.02536	1.03319	1.02250	1.03032	70874	0	7
2012.04.12	1.03031	1.04493	1.03009	1.04377	73801	0	10
2012.04.13	1.04375	1.04508	1.03558	1.03710	70775	0	10
2012.04.16	1.03624	1.03783	1.03106	1.03543	74050	0	10
2012.04.17	1.03545	1.04173	1.03041	1.03959	66299	0	10
2012.04.18	1.03960	1.04143	1.03400	1.03571	67567	0	10
2012.04.19	1.03572	1.03894	1.03130	1.03336	74421	0	10
2012.04.20	1.03340	1.03831	1.03080	1.03786	64168	0	10
2012.04.23	1.03726	1.03828	1.02716	1.03155	64535	0	10
2012.04.24	1.03154	1.03305	1.02461	1.03210	68417	0	10
2012.04.25	1.03206	1.03739	1.03058	1.03637	66355	0	10
2012.04.26	1.03636	1.03977	1.03495	1.03676	64579	0	10
2012.04.27	1.03675	1.04738	1.03530	1.04689	65012	0	10
2012.04.30	1.04568	1.04684	1.04055	1.04267	55984	0	10
2012.05.01	1.04269	1.04287	1.03044	1.03320	50802	0	10
2012.05.02	1.03319	1.03548	1.02839	1.03235	60877	0	10
2012.05.03	1.03233	1.03243	1.02390	1.02642	60924	0	10
2012.05.04	1.02644	1.02769	1.01688	1.01783	60467	0	10
2012.05.07	1.01512	1.02184	1.01092	1.02031	63019	0	10
2012.05.08	1.02032	1.02169	1.00880	1.01085	68514	0	10
2012.05.09	1.01087	1.01147	1.00206	1.00409	78749	0	10
2012.05.10	1.00411	1.01426	1.00377	1.00577	76864	0	10
2012.05.11	1.00575	1.00808	1.00177	1.00185	71024	0	10
2012.05.14	1.00088	1.00334	0.99554	0.99559	66009	0	10
2012.05.15	0.99558	1.00146	0.99203	0.99364	69363	0	10
2012.05.16	0.99363	0.99672	0.98699	0.99113	79109	0	10
2012.05.17	0.99112	0.99631	0.98825	0.98874	76316	0	10
2012.05.18	0.98878	0.98968	0.97945	0.98430	84290	0	10
2012.05.21	0.98435	0.99171	0.98019	0.99121	75933	0	10
2012.05.22	0.99120	0.99344	0.97809	0.97928	76594	0	10
2012.05.23	0.97937	0.97986	0.96894	0.97531	85340	0	10
2012.05.24	0.97532	0.98126	0.97118	0.97656	86965	0	10
2012.05.25	0.97655	0.97985	0.97251	0.97566	75188	0	10
2012.05.28	0.98033	0.98878	0.97954	0.98520	61181	0	10
2012.05.29	0.98519	0.98969	0.98001	0.98345	82117	0	10
2012.05.30	0.98344	0.98422	0.97014	0.97104	87178	0	10
2012.05.31	0.97103	0.97690	0.96721	0.97258	90276	0	10
2012.06.01	0.97260	0.97307	0.95814	0.96914	92949	0	10
2012.06.04	0.97035	0.97462	0.96266	0.97176	81375	0	10
2012.06.05	0.97175	0.98030	0.97102	0.97442	83468	0	10
2012.06.06	0.97443	0.99312	0.97361	0.99176	88152	0	10
2012.06.07	0.99174	1.00018	0.98864	0.98912	86967	0	10
2012.06.08	0.98911	0.99383	0.98202	0.99127	88360	0	10
2012.06.11	0.99870	1.00047	0.98532	0.98550	80419	0	10
2012.06.12	0.98549	0.99662	0.98492	0.99522	83891	0	10
2012.06.13	0.99523	1.00018	0.99282	0.99450	80052	0	10
2012.06.14	0.99448	1.00319	0.99215	1.00203	82199	0	10
2012.06.15	1.00201	1.00882	0.99930	1.00717	72234	0	10
2012.06.18	1.01274	1.01413	1.00565	1.01197	83165	0	10
2012.06.19	1.01196	1.02006	1.01031	1.01918	77734	0	10
2012.06.20	1.01919	1.02233	1.01329	1.01831	81926	0	10
2012.06.21	1.01830	1.02038	1.00274	1.00523	88496	0	10
2012.06.22	1.00517	1.00760	1.00077	1.00600	76526	0	10
2012.06.25	1.00477	1.00500	0.99684	1.00066	74011	0	10
2012.06.26	1.00065	1.00825	0.99991	1.00580	81788	0	10
2012.06.27	1.00583	1.00885	1.00391	1.00803	82534	0	10
2012.06.28	1.00802	1.01249	0.99949	1.00397	95782	0	10
2012.06.29	1.00396	1.02566	1.00178	1.02359	103869	0	10
2012.07.02	1.02599	1.02772	1.02113	1.02541	88839	0	10
2012.07.03	1.02542	1.02959	1.02285	1.02808	81346	0	10
2012.07.04	1.02809	1.03174	1.02607	1.02752	75401	0	10
2012.07.05	1.02751	1.03284	1.02418	1.02875	89063	0	10
2012.07.06	1.02873	1.02874	1.01792	1.02085	85120	0	10
2012.07.09	1.01814	1.02119	1.01544	1.02064	82130	0	10
2012.07.10	1.02063	1.02441	1.01591	1.01913	85455	0	10
2012.07.11	1.01914	1.02806	1.01779	1.02525	86385	0	10
2012.07.12	1.02524	1.02586	1.01002	1.01352	90285	0	10
2012.07.13	1.01353	1.02286	1.01215	1.02252	83299	0	10
2012.07.16	1.02417	1.02581	1.02019	1.02433	70298	0	10
2012.07.17	1.02434	1.03174	1.02357	1.03023	85340	0	10
2012.07.18	1.03024	1.03720	1.02884	1.03625	87542	0	10
2012.07.19	1.03624	1.04432	1.03552	1.04184	88807	0	10
2012.07.20	1.04182	1.04250	1.03620	1.03756	83855	0	10
2012.07.23	1.03565	1.03643	1.02428	1.02558	92807	0	10
2012.07.24	1.02559	1.03157	1.02140	1.02235	96714	0	10
